Python工程师,本科,深圳,A轮,一面数据,"移动互联网,数据服务",10k-20k,南山区,"五险一金,年度旅游,年度体检,生日会",15-50人,1-3年
python开发工程师,本科,西安,上市公司,绿盟科技,信息安全,8k-10k,雁塔区,五险一金；弹性工作；餐补；定期体检,500-2000人,3-5年
python开发工程师,本科,北京,B轮,下厨房,移动互联网,12k-24k,海淀区,"发展前景好,免费午餐,带薪年假多,弹性工作时",50-150人,不限
Python工程师,大专,深圳,A轮,天方达健信科技,移动互联网,6k-12k,罗湖区,"周末双休,五险一金,年终奖金,节日福利",150-500人,1-3年
python开发工程师,大专,上海,不需要融资,紫川软件,"电子商务,金融",12k-19k,浦东新区,员工旅游 员工体检 五险一金,500-2000人,3-5年
python开发工程师,本科,北京,B轮,老虎证券,"移动互联网,金融",20k-40k,朝阳区,"带薪年假,六险一金,期权股票,大牛多多",150-500人,1-3年
Python,本科,北京,C轮,春雨移动健康,移动互联网,20k-40k,海淀区,有挑战，自主加薪，技术氛围好,150-500人,3-5年
python工程师,本科,上海,D轮及以上,爱回收,"电子商务,O2O",15k-25k,杨浦区,"团队大牛,期权激励,D轮公司,行业独角兽",500-2000人,3-5年
Python（极验验证）,不限,武汉,B轮,极验,"信息安全,数据服务",9k-18k,东湖新技术开发区,双休+弹性工作制+五险一金+餐补,50-150人,3-5年
Python,大专,武汉,A轮,榆钱金融,金融,10k-20k,武昌区,"弹性工作,氛围好,福利好,前景好",150-500人,1-3年
Python 算法工程师,本科,深圳,B轮,晶泰科技,"企业服务,医疗健康",18k-30k,福田区,"技术成长快,公司前景好,领导好",50-150人,3-5年
Python开发,本科,深圳,上市公司,金证股份,金融,9k-16k,福田区,"上市公司,大型项目,年度调薪,薪资福利好",2000人以上,1-3年
Python开发工程师,大专,深圳,上市公司,众禄基金,"移动互联网,金融",18k-25k,罗湖区,"团队氛围,高速发展,互联网金融,五险一金",150-500人,3-5年
Python工程师,大专,深圳,A轮,柚子街,"移动互联网,O2O",10k-15k,南山区,"业界前沿,业绩激励,弹性办公,大牛多",15-50人,1-3年
Python开发工程师,本科,深圳,A轮,达观数据,移动互联网,8k-10k,南山区,"六险一金,12天年假,专业培训,技术提升",50-150人,1-3年
Python研发工程师,本科,北京,天使轮,江山如画网络科技,"移动互联网,社交网络",5k-10k,海淀区,管吃管住、顶级投资、原始股权奖励,少于15人,1-3年
python开发高级工程师,本科,北京,上市公司,阿里巴巴—高德,移动互联网,15k-30k,朝阳区,阿里福利~,2000人以上,3-5年
后端python工程师,本科,上海,D轮及以上,达达-京东到家,O2O,15k-25k,浦东新区,平台稳定，团队快速发展,2000人以上,1-3年
极光调研 - 高级 Python 工程师,本科,深圳,D轮及以上,极光,"移动互联网,数据服务",18k-35k,南山区,"D轮+,14薪+,攻城狮氛围,牛掰团队",150-500人,3-5年
Python 开发工程师,本科,北京,C轮,奇点汽车,"移动互联网,硬件",15k-20k,朝阳区,五险一金 带薪年假 午餐补助 扁平管理,150-500人,3-5年
python开发工程师,大专,深圳,不需要融资,武汉佰钧成技术有限公司,移动互联网,10k-17k,南山区,"仿真模型,六险一金,节日福利,法定假期",2000人以上,3-5年
Python后端开发工程师,本科,北京,B轮,CastBox,"移动互联网,文化娱乐",20k-40k,朝阳区,"弹性工作,五险一金,福利待遇,股票期权",15-50人,3-5年
